issue_id,issue_type,status,priority,assignee_id,assignee_name,assignee_email,created_at,resolved_at,resolution_hours,sla_expected_hours,is_sla_met
JIRA-0031,Story,Resolved,Medium,u004,Francinne,francinne@fasttrack.com,2025-06-06 05:43:39+00:00,2025-06-08 08:43:39+00:00,19.0,72,True
JIRA-0032,Bug,Done,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-12-17 16:18:42+00:00,2025-12-19 22:18:42+00:00,54.0,120,True
JIRA-0033,Bug,Done,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-06-28 17:38:58+00:00,2025-06-29 15:38:58+00:00,0.0,24,True
JIRA-0034,Bug,Resolved,High,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-02-15 17:29:11+00:00,2025-02-16 04:29:11+00:00,0.0,24,True
JIRA-0036,Task,Done,Medium,u005,Adyna,adyna@fasttrack.com,2025-04-13 18:28:17+00:00,2025-04-17 07:28:17+00:00,79.0,72,False
JIRA-0037,Bug,Resolved,High,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-11-13 04:08:51+00:00,2025-11-13 14:08:51+00:00,10.0,24,True
JIRA-0038,Story,Done,Low,u004,Francinne,francinne@fasttrack.com,2025-11-26 00:04:40+00:00,2025-12-01 09:04:40+00:00,81.0,120,True
JIRA-0039,Story,Resolved,High,u004,Francinne,francinne@fasttrack.com,2025-03-18 10:38:31+00:00,2025-03-18 15:38:31+00:00,5.0,24,True
JIRA-0040,Bug,Resolved,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-03-26 20:55:20+00:00,2025-03-28 15:55:20+00:00,43.0,72,True
JIRA-0041,Task,Done,Low,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-11-24 16:26:37+00:00,2025-11-27 14:26:37+00:00,70.0,120,True
JIRA-0042,Bug,Resolved,High,u005,Adyna,adyna@fasttrack.com,2025-02-28 13:16:34+00:00,2025-03-01 07:16:34+00:00,11.0,24,True
JIRA-0043,Bug,Resolved,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-01-12 11:06:22+00:00,2025-01-12 17:06:22+00:00,0.0,24,True
JIRA-0044,Bug,Done,Medium,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-06-16 00:32:18+00:00,2025-06-18 15:32:18+00:00,63.0,72,True
JIRA-0046,Task,Done,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2026-01-14 00:12:45+00:00,2026-01-15 07:12:45+00:00,31.0,72,True
JIRA-0047,Bug,Resolved,High,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-02-17 08:19:53+00:00,2025-02-18 11:19:53+00:00,27.0,24,False
JIRA-0048,Bug,Done,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2026-01-26 13:48:37+00:00,2026-01-27 09:48:37+00:00,20.0,24,True
JIRA-0050,Story,Resolved,High,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-07-02 16:31:06+00:00,2025-07-03 08:31:06+00:00,16.0,24,True
JIRA-0051,Task,Done,High,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-01-31 20:50:17+00:00,2025-02-01 19:50:17+00:00,4.0,24,True
JIRA-0052,Story,Done,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-09-03 17:33:40+00:00,2025-09-07 11:33:40+00:00,55.0,120,True
JIRA-0053,Story,Done,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-07-26 07:24:48+00:00,2025-07-31 12:24:48+00:00,84.0,120,True
JIRA-0054,Task,Done,Low,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-09-03 13:58:12+00:00,2025-09-05 07:58:12+00:00,42.0,120,True
JIRA-0055,Bug,Resolved,Low,u005,Adyna,adyna@fasttrack.com,2025-03-19 15:47:08+00:00,2025-03-21 09:47:08+00:00,42.0,120,True
JIRA-0056,Task,Done,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-09-29 01:59:46+00:00,2025-09-30 18:59:46+00:00,41.0,120,True
JIRA-0060,Story,Done,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-06-13 14:25:16+00:00,2025-06-15 21:25:16+00:00,10.0,72,True
JIRA-0061,Bug,Resolved,Low,u003,Guilherme Francisco,guilherme@fasttrack.com,2026-01-28 13:30:27+00:00,2026-02-03 18:30:27+00:00,101.0,120,True
JIRA-0062,Task,Resolved,High,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-08-03 21:41:35+00:00,2025-08-04 02:41:35+00:00,2.0,24,True
JIRA-0063,Story,Resolved,High,u004,Francinne,francinne@fasttrack.com,2025-07-23 11:12:00+00:00,2025-07-23 20:12:00+00:00,9.0,24,True
JIRA-0064,Story,Done,Low,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-01-08 12:15:22+00:00,2025-01-10 16:15:22+00:00,52.0,120,True
JIRA-0065,Bug,Done,High,u005,Adyna,adyna@fasttrack.com,2025-10-14 18:41:05+00:00,2025-10-15 16:41:05+00:00,22.0,24,True
JIRA-0067,Story,Done,Medium,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-07-13 19:34:17+00:00,2025-07-14 20:34:17+00:00,20.0,72,True
JIRA-0068,Bug,Resolved,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-05-01 01:04:58+00:00,2025-05-02 19:04:58+00:00,19.0,72,True
JIRA-0070,Task,Resolved,Low,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-07-27 05:37:08+00:00,2025-07-29 21:37:08+00:00,45.0,120,True
JIRA-0071,Task,Resolved,High,u004,Francinne,francinne@fasttrack.com,2025-06-22 18:27:54+00:00,2025-06-23 04:27:54+00:00,4.0,24,True
JIRA-0072,Story,Resolved,Medium,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-06-26 18:41:14+00:00,2025-06-28 10:41:14+00:00,30.0,72,True
JIRA-0073,Task,Done,High,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-08-05 09:32:14+00:00,2025-08-05 15:32:14+00:00,6.0,24,True
JIRA-0074,Task,Done,Low,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-09-15 05:04:51+00:00,2025-09-16 12:04:51+00:00,31.0,120,True
JIRA-0075,Story,Done,High,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-07-26 04:39:06+00:00,2025-07-26 09:39:06+00:00,0.0,24,True
JIRA-0076,Story,Done,Medium,u005,Adyna,adyna@fasttrack.com,2025-09-01 15:22:08+00:00,2025-09-04 10:22:08+00:00,67.0,72,True
JIRA-0077,Story,Done,High,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-05-28 15:19:30+00:00,2025-05-29 03:19:30+00:00,12.0,24,True
JIRA-0079,Story,Resolved,High,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-09-14 11:22:29+00:00,2025-09-15 10:22:29+00:00,10.0,24,True
JIRA-0080,Story,Resolved,High,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-08-22 06:24:46+00:00,2025-08-23 02:24:46+00:00,18.0,24,True
JIRA-0081,Bug,Done,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-08-18 15:24:44+00:00,2025-08-22 01:24:44+00:00,82.0,72,False
JIRA-0082,Story,Resolved,Medium,u005,Adyna,adyna@fasttrack.com,2025-10-22 11:46:48+00:00,2025-10-23 21:46:48+00:00,34.0,72,True
JIRA-0083,Bug,Done,Medium,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-01-01 07:34:02+00:00,2025-01-03 09:34:02+00:00,33.0,72,True
JIRA-0084,Task,Resolved,Medium,u004,Francinne,francinne@fasttrack.com,2025-09-08 07:09:39+00:00,2025-09-11 06:09:39+00:00,71.0,72,True
JIRA-0085,Task,Done,Low,u001,Matheus Malta,matheus.malta@fasttrack.com,2026-01-03 12:49:47+00:00,2026-01-06 07:49:47+00:00,31.0,120,True
JIRA-0086,Story,Resolved,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-09-18 08:21:43+00:00,2025-09-20 07:21:43+00:00,40.0,120,True
JIRA-0087,Bug,Done,Medium,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-06-04 16:03:03+00:00,2025-06-05 22:03:03+00:00,30.0,72,True
JIRA-0088,Story,Resolved,High,u004,Francinne,francinne@fasttrack.com,2025-02-26 13:36:59+00:00,2025-02-27 07:36:59+00:00,18.0,24,True
JIRA-0092,Task,Resolved,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-04-05 06:17:17+00:00,2025-04-06 00:17:17+00:00,0.0,24,True
JIRA-0093,Story,Done,Low,u005,Adyna,adyna@fasttrack.com,2025-09-04 10:51:45+00:00,2025-09-10 03:51:45+00:00,89.0,120,True
JIRA-0094,Task,Done,Low,u004,Francinne,francinne@fasttrack.com,2025-12-13 08:25:55+00:00,2025-12-16 00:25:55+00:00,24.0,120,True
JIRA-0095,Story,Resolved,Medium,u004,Francinne,francinne@fasttrack.com,2025-08-04 09:27:29+00:00,2025-08-07 15:27:29+00:00,78.0,72,False
JIRA-0096,Bug,Done,High,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-03-02 04:23:39+00:00,2025-03-03 06:23:39+00:00,0.0,24,True
JIRA-0097,Bug,Done,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-03-04 14:04:35+00:00,2025-03-05 19:04:35+00:00,19.0,72,True
JIRA-0098,Task,Resolved,Medium,u004,Francinne,francinne@fasttrack.com,2025-06-16 04:22:14+00:00,2025-06-17 00:22:14+00:00,20.0,72,True
JIRA-0099,Task,Done,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-11-19 22:35:36+00:00,2025-11-20 17:35:36+00:00,2.0,72,True
JIRA-0100,Task,Resolved,Medium,u004,Francinne,francinne@fasttrack.com,2025-01-16 04:06:07+00:00,2025-01-19 17:06:07+00:00,44.0,72,True
JIRA-0101,Task,Resolved,High,u004,Francinne,francinne@fasttrack.com,2025-08-20 22:32:35+00:00,2025-08-22 02:32:35+00:00,28.0,24,False
JIRA-0102,Task,Resolved,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-06-21 07:08:21+00:00,2025-06-27 11:08:21+00:00,107.0,120,True
JIRA-0103,Story,Done,Medium,u004,Francinne,francinne@fasttrack.com,2025-10-30 00:49:25+00:00,2025-11-01 07:49:25+00:00,48.0,72,True
JIRA-0104,Bug,Resolved,High,u005,Adyna,adyna@fasttrack.com,2025-04-10 03:09:16+00:00,2025-04-11 02:09:16+00:00,23.0,24,True
JIRA-0105,Bug,Done,Medium,u004,Francinne,francinne@fasttrack.com,2025-01-22 01:13:07+00:00,2025-01-22 23:13:07+00:00,22.0,72,True
JIRA-0107,Task,Done,High,u004,Francinne,francinne@fasttrack.com,2025-09-20 03:27:58+00:00,2025-09-21 07:27:58+00:00,0.0,24,True
JIRA-0108,Story,Done,Medium,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-03-05 14:50:34+00:00,2025-03-08 14:50:34+00:00,58.0,72,True
JIRA-0110,Bug,Resolved,High,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-02-01 06:27:57+00:00,2025-02-02 10:27:57+00:00,0.0,24,True
JIRA-0111,Task,Resolved,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-04-29 08:36:46+00:00,2025-04-29 19:36:46+00:00,11.0,24,True
JIRA-0113,Story,Resolved,Medium,u005,Adyna,adyna@fasttrack.com,2025-05-11 07:48:58+00:00,2025-05-15 00:48:58+00:00,72.0,72,True
JIRA-0116,Story,Done,Medium,u005,Adyna,adyna@fasttrack.com,2025-06-04 01:08:06+00:00,2025-06-04 22:08:06+00:00,21.0,72,True
JIRA-0117,Bug,Done,Low,u005,Adyna,adyna@fasttrack.com,2025-08-23 05:54:31+00:00,2025-08-25 11:54:31+00:00,11.0,120,True
JIRA-0118,Story,Done,Medium,u005,Adyna,adyna@fasttrack.com,2025-10-15 19:56:30+00:00,2025-10-16 15:56:30+00:00,20.0,72,True
JIRA-0120,Bug,Resolved,Medium,u004,Francinne,francinne@fasttrack.com,2025-12-24 02:09:45+00:00,2025-12-25 09:09:45+00:00,22.0,72,True
JIRA-0121,Task,Done,Low,u004,Francinne,francinne@fasttrack.com,2025-07-29 18:42:02+00:00,2025-08-04 21:42:02+00:00,99.0,120,True
JIRA-0122,Task,Done,Low,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-09-08 08:11:34+00:00,2025-09-11 22:11:34+00:00,86.0,120,True
JIRA-0123,Story,Done,Medium,u005,Adyna,adyna@fasttrack.com,2025-12-27 22:47:37+00:00,2025-12-31 10:47:37+00:00,58.0,72,True
JIRA-0124,Task,Done,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2026-01-19 22:32:27+00:00,2026-01-22 03:32:27+00:00,53.0,72,True
JIRA-0125,Story,Done,High,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-07-20 16:02:16+00:00,2025-07-21 06:02:16+00:00,6.0,24,True
JIRA-0126,Bug,Resolved,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-01-08 21:13:49+00:00,2025-01-15 09:13:49+00:00,108.0,120,True
JIRA-0127,Story,Resolved,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2026-01-15 11:45:04+00:00,2026-01-16 08:45:04+00:00,21.0,24,True
JIRA-0128,Bug,Resolved,Medium,u001,Matheus Malta,matheus.malta@fasttrack.com,2026-01-17 05:34:22+00:00,2026-01-20 02:34:22+00:00,26.0,72,True
JIRA-0129,Task,Done,Medium,u005,Adyna,adyna@fasttrack.com,2025-07-08 23:32:13+00:00,2025-07-11 02:32:13+00:00,27.0,72,True
JIRA-0130,Task,Done,Medium,u005,Adyna,adyna@fasttrack.com,2025-09-25 00:06:08+00:00,2025-09-27 18:06:08+00:00,48.0,72,True
JIRA-0131,Bug,Resolved,Medium,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-07-30 10:14:53+00:00,2025-08-01 13:14:53+00:00,51.0,72,True
JIRA-0132,Story,Resolved,High,u005,Adyna,adyna@fasttrack.com,2025-09-03 02:14:24+00:00,2025-09-03 09:14:24+00:00,7.0,24,True
JIRA-0134,Task,Resolved,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-08-08 19:28:41+00:00,2025-08-10 20:28:41+00:00,5.0,120,True
JIRA-0135,Bug,Done,High,u005,Adyna,adyna@fasttrack.com,2025-08-23 18:40:34+00:00,2025-08-23 22:40:34+00:00,0.0,24,True
JIRA-0137,Story,Resolved,Low,u001,Matheus Malta,matheus.malta@fasttrack.com,2026-01-17 06:38:31+00:00,2026-01-19 08:38:31+00:00,8.0,120,True
JIRA-0138,Bug,Done,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-12-09 02:56:00+00:00,2025-12-11 09:56:00+00:00,55.0,72,True
JIRA-0139,Task,Resolved,Medium,u001,Matheus Malta,matheus.malta@fasttrack.com,2026-01-07 01:31:03+00:00,2026-01-08 03:31:03+00:00,26.0,72,True
JIRA-0141,Story,Resolved,Low,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-03-08 03:53:13+00:00,2025-03-11 18:53:13+00:00,42.0,120,True
JIRA-0142,Task,Resolved,Medium,u004,Francinne,francinne@fasttrack.com,2025-06-25 07:06:47+00:00,2025-06-28 13:06:47+00:00,65.0,72,True
JIRA-0143,Story,Done,Medium,u005,Adyna,adyna@fasttrack.com,2025-11-30 01:58:03+00:00,2025-12-02 04:58:03+00:00,28.0,72,True
JIRA-0144,Story,Resolved,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-03-19 01:50:52+00:00,2025-03-20 05:50:52+00:00,28.0,24,False
JIRA-0145,Bug,Done,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-03-05 01:26:38+00:00,2025-03-05 10:26:38+00:00,9.0,24,True
JIRA-0147,Task,Done,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-08-15 05:28:00+00:00,2025-08-16 13:28:00+00:00,19.0,120,True
JIRA-0148,Task,Done,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-12-19 15:45:26+00:00,2025-12-21 09:45:26+00:00,9.0,120,True
JIRA-0149,Story,Done,Low,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-06-03 15:37:02+00:00,2025-06-09 03:37:02+00:00,84.0,120,True
JIRA-0150,Bug,Resolved,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-07-26 07:44:53+00:00,2025-07-27 13:44:53+00:00,0.0,24,True
JIRA-0152,Story,Resolved,Low,u004,Francinne,francinne@fasttrack.com,2025-12-08 02:24:49+00:00,2025-12-10 09:24:49+00:00,55.0,120,True
JIRA-0153,Task,Resolved,Medium,u005,Adyna,adyna@fasttrack.com,2025-07-31 11:02:12+00:00,2025-08-03 15:02:12+00:00,37.0,72,True
JIRA-0155,Story,Resolved,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-01-21 02:09:23+00:00,2025-01-22 01:09:23+00:00,23.0,72,True
JIRA-0156,Bug,Done,Low,u005,Adyna,adyna@fasttrack.com,2025-01-17 02:43:23+00:00,2025-01-20 22:43:23+00:00,44.0,120,True
JIRA-0157,Story,Done,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-12-10 11:45:12+00:00,2025-12-10 23:45:12+00:00,12.0,24,True
JIRA-0158,Task,Resolved,Medium,u004,Francinne,francinne@fasttrack.com,2026-01-17 22:25:59+00:00,2026-01-18 21:25:59+00:00,0.0,72,True
JIRA-0159,Task,Done,Medium,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-03-23 05:52:59+00:00,2025-03-24 13:52:59+00:00,13.0,72,True
JIRA-0160,Bug,Done,Low,u004,Francinne,francinne@fasttrack.com,2025-11-08 00:58:15+00:00,2025-11-09 09:58:15+00:00,0.0,120,True
JIRA-0161,Bug,Done,Medium,u005,Adyna,adyna@fasttrack.com,2025-04-01 00:56:06+00:00,2025-04-03 15:56:06+00:00,63.0,72,True
JIRA-0162,Bug,Resolved,Low,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-12-25 19:51:47+00:00,2025-12-31 04:51:47+00:00,76.0,120,True
JIRA-0163,Bug,Done,Low,u001,Matheus Malta,matheus.malta@fasttrack.com,2026-01-23 04:35:05+00:00,2026-01-28 21:35:05+00:00,89.0,120,True
JIRA-0164,Bug,Done,Medium,u004,Francinne,francinne@fasttrack.com,2025-08-12 17:15:08+00:00,2025-08-15 13:15:08+00:00,68.0,72,True
JIRA-0165,Task,Resolved,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-07-05 20:49:40+00:00,2025-07-06 22:49:40+00:00,0.0,24,True
JIRA-0167,Task,Done,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-04-02 05:43:39+00:00,2025-04-03 05:43:39+00:00,24.0,24,True
JIRA-0168,Task,Done,Low,u004,Francinne,francinne@fasttrack.com,2025-08-01 09:00:34+00:00,2025-08-06 19:00:34+00:00,82.0,120,True
JIRA-0169,Story,Done,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-04-23 08:19:18+00:00,2025-04-24 00:19:18+00:00,16.0,24,True
JIRA-0170,Task,Resolved,Low,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-04-17 00:41:59+00:00,2025-04-18 17:41:59+00:00,24.0,120,True
JIRA-0171,Task,Resolved,Medium,u001,Matheus Malta,matheus.malta@fasttrack.com,2026-01-30 08:54:58+00:00,2026-02-01 06:54:58+00:00,16.0,72,True
JIRA-0172,Story,Done,Low,u004,Francinne,francinne@fasttrack.com,2026-01-16 07:33:27+00:00,2026-01-18 21:33:27+00:00,17.0,120,True
JIRA-0173,Bug,Done,Medium,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-10-20 23:42:18+00:00,2025-10-23 21:42:18+00:00,70.0,72,True
JIRA-0174,Bug,Done,Low,u004,Francinne,francinne@fasttrack.com,2025-10-25 11:05:38+00:00,2025-10-28 22:05:38+00:00,46.0,120,True
JIRA-0175,Task,Resolved,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-10-24 02:39:49+00:00,2025-10-26 15:39:49+00:00,22.0,72,True
JIRA-0177,Task,Done,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-12-21 21:45:24+00:00,2025-12-22 01:45:24+00:00,1.0,24,True
JIRA-0178,Task,Resolved,Low,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-02-28 02:53:58+00:00,2025-03-06 02:53:58+00:00,48.0,120,True
JIRA-0179,Task,Resolved,Low,u005,Adyna,adyna@fasttrack.com,2025-03-04 09:11:09+00:00,2025-03-08 21:11:09+00:00,72.0,120,True
JIRA-0180,Story,Resolved,Medium,u001,Matheus Malta,matheus.malta@fasttrack.com,2026-01-15 00:00:01+00:00,2026-01-18 09:00:01+00:00,48.0,72,True
JIRA-0181,Task,Done,High,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-08-12 05:07:58+00:00,2025-08-12 16:07:58+00:00,11.0,24,True
JIRA-0182,Story,Resolved,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-03-20 01:35:26+00:00,2025-03-20 19:35:26+00:00,18.0,24,True
JIRA-0183,Task,Resolved,Medium,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-02-05 17:20:01+00:00,2025-02-07 22:20:01+00:00,53.0,72,True
JIRA-0184,Task,Done,Medium,u005,Adyna,adyna@fasttrack.com,2025-04-24 01:37:03+00:00,2025-04-25 20:37:03+00:00,43.0,72,True
JIRA-0185,Bug,Resolved,Low,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-05-20 20:30:13+00:00,2025-05-23 15:30:13+00:00,67.0,120,True
JIRA-0186,Bug,Resolved,Low,u005,Adyna,adyna@fasttrack.com,2025-07-07 01:23:33+00:00,2025-07-13 08:23:33+00:00,95.0,120,True
JIRA-0187,Story,Done,High,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-07-17 06:28:50+00:00,2025-07-18 00:28:50+00:00,18.0,24,True
JIRA-0188,Bug,Resolved,High,u005,Adyna,adyna@fasttrack.com,2025-12-28 08:56:57+00:00,2025-12-28 21:56:57+00:00,0.0,24,True
JIRA-0189,Story,Done,High,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-09-26 09:48:36+00:00,2025-09-27 07:48:36+00:00,15.0,24,True
JIRA-0190,Task,Resolved,Medium,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-12-21 20:02:12+00:00,2025-12-23 22:02:12+00:00,46.0,72,True
JIRA-0192,Task,Done,Low,u004,Francinne,francinne@fasttrack.com,2025-08-18 07:30:00+00:00,2025-08-19 12:30:00+00:00,29.0,120,True
JIRA-0193,Task,Done,High,u004,Francinne,francinne@fasttrack.com,2025-02-08 02:15:03+00:00,2025-02-09 01:15:03+00:00,0.0,24,True
JIRA-0194,Story,Resolved,High,u002,Gionni Lucio,gionni.lucio@fasttrack.com,2025-10-01 15:44:19+00:00,2025-10-02 02:44:19+00:00,11.0,24,True
JIRA-0195,Story,Resolved,Medium,u001,Matheus Malta,matheus.malta@fasttrack.com,2025-04-17 05:44:59+00:00,2025-04-21 01:44:59+00:00,19.0,72,True
JIRA-0197,Story,Resolved,Medium,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-03-12 00:12:28+00:00,2025-03-14 01:12:28+00:00,49.0,72,True
JIRA-0199,Task,Done,Low,u003,Guilherme Francisco,guilherme@fasttrack.com,2025-07-31 16:16:40+00:00,2025-08-03 10:16:40+00:00,32.0,120,True
JIRA-0200,Bug,Resolved,Medium,u004,Francinne,francinne@fasttrack.com,2025-09-21 02:06:35+00:00,2025-09-22 04:06:35+00:00,4.0,72,True
JIRA-0201,Story,Resolved,High,u004,Francinne,francinne@fasttrack.com,2025-06-25 05:45:45+00:00,2025-06-26 06:45:45+00:00,25.0,24,False
